Unnamed: 0,expression,annotation
0,帮我艾特一下群里每个女生,"不完整方法理解,祈使语气理解,构建循环,隐性步骤提取,特定执行动作,可靠执行,信息权限,信息分析,信息处理,特定应用功能,相似语义功能"
1,帮我给群里每个男生发这个文件,"不完整方法理解,定冠词指代理解,祈使语气理解,构建循环,隐性步骤提取,特定执行动作,可靠执行,其它设备协作,信息权限,设备联通,信息分析,信息处理,特定应用功能,特定应用,相似语义功能"
2,跟小王说先吃别等我,"个性化知识理解,别名理解,不完整目标理解,不完整方法理解,特定应用功能,特定应用,相似语义功能,隐性步骤提取,特定执行动作,祈使语气理解,信息处理"
3,给每条集赞朋友圈点个赞,"信息分析,抗冗余表达干扰,特定应用功能,相似语义功能,隐性步骤提取,模糊范围程度理解,信息获取,条件判断,构建循环,特定执行动作,祈使语气理解,模糊指代理解"
4,点赞小李最新一条朋友圈,"信息分析,个性化知识理解,长任务,不完整目标理解,别名理解,不完整方法理解,信息运算,特定应用功能,特定应用,隐性步骤提取,信息存储与提取,信息获取,特定执行器件,信息处理,特定执行动作,祈使语气理解,模糊指代理解"
5,播放跑步歌单,"不完整目标理解,情景感知,不完整方法理解,特定应用功能,信息获取,特定执行动作,模糊指代理解,信息处理"
6,说声先吃别等我,"个性化知识理解,不完整目标理解,不完整方法理解,特定应用功能,相似语义功能,隐性步骤提取,特定执行动作,祈使语气理解"
7,在群里说声我要迟一会儿,"不完整方法理解,不完整目标理解,祈使语气理解,隐性步骤提取,特定执行动作,其它设备协作,信息处理,特定应用功能,相似语义功能"
8,现在我朋友圈集了多少赞了,"疑问语气理解,特定执行器件,信息权限,信息获取,信息运算,信息处理,特定应用功能"
9,有人在我朋友圈评论吗,"疑问语气理解,特定执行动作,信息权限,信息获取,特定应用功能"
10,帮我找一下最近的公厕,"疑问语气理解,情景感知,特定执行动作,自主寻找,信息获取,特定应用功能"
11,附近有啥饭店嘛,"不完整目标理解,情景感知,自主寻找,口语化表达理解,特定应用,相似语义功能,信息获取,疑问语气理解"
12,导航还有多久呀,"模糊表达理解,句子成分缺失理解,信息权限,信息获取,信息运算,信息处理,特定应用功能,特定应用"
13,到牡丹园是打车快还是地铁快？,"疑问语气理解,自主寻找,信息获取,信息运算,条件判断,信息分析"
14,打开导航，我要去最近的咖啡店。,"不完整目标理解,模糊范围程度理解,情景感知,特定执行动作,特定执行器件,自主寻找,信息获取,特定应用功能,特定应用,相似语义功能"
15,把这张图发文件传输助手,"不完整方法理解,定冠词指代理解,祈使语气理解,特定执行动作,特定应用功能"
16,给张哥转一下作业答案,"信息权限,不完整目标理解,别名理解,不完整方法理解,特定应用功能,相似语义功能,隐性步骤提取,信息获取,特定执行动作,祈使语气理解,信息处理"
17,把昨天晚上的照片传给小陈。,"别名理解,定冠词指代理解,特定应用功能,信息存储与提取,信息获取,设备联通,特定执行动作,信息处理"
18,帮我清理一下手机空间,"操作,不完整方法理解,其它设备协作,特定应用功能,特定应用,特定执行动作,祈使语气理解"
19,打开无障碍,"不完整目标理解,不完整方法理解,特定应用功能,特定执行动作,祈使语气理解"
20,闹钟声开大点,"不完整目标理解,模糊范围程度理解,祈使语气理解,特定执行动作,特定执行器件,设备联通"
21,调静音,"理解,执行,特定执行器件,特定执行动作,祈使语气理解"
22,开个手电筒,"不完整目标理解,祈使语气理解,特定执行动作,特定执行器件,特定应用功能"
23,我的手机里还剩多少内存？,"信息权限,信息分析,特定应用功能,信息获取,设备联通,疑问语气理解"
24,找一下明天的天气预报。,"不完整目标理解,不完整方法理解,自主寻找,特定应用,相似语义功能,信息获取,特定执行动作,高级智能理解,信息处理"
25,今天会下雨嘛？,"自主寻找,疑问语气理解"
26,后天天气咋样？,"智能识别,自主寻找,口语化表达理解,特定应用功能,特定应用,相似语义功能,信息获取,非常规表达理解,特殊语序理解,高级智能理解,疑问语气理解"
27,明天伦敦天气怎么样,"信息分析,自主寻找,特定应用,信息获取,疑问语气理解"
28,通知我今天下午3点的会议。,"规划,理解,特定应用功能,信息存储与提取,信息获取,智能识别,执行,特定执行动作,设置条件触发"
29,显示我上个月的运动数据。,"不完整目标理解,定冠词指代理解,自主寻找,特定应用功能,信息存储与提取,信息获取,特定执行动作"
30,呼叫最近联系过的五个人。,"个性化知识理解,祈使语气理解,特定执行动作,信息处理"
31,在微信上读出最新的消息。,"不完整目标理解,情景感知,不完整方法理解,特定应用功能,特定应用,信息存储与提取,信息获取,设备联通,特定执行动作,祈使语气理解"
32,搜一下最近的电影票优惠。,"规划,信息分析,情景感知,信息运算,自主寻找,特定应用功能,理解,特定应用,相似语义功能,执行,信息获取,特定执行器件,特定执行动作,疑问语气理解,信息处理"
33,在朋友圈分享我现在的位置。,"情景感知,自主寻找,特定应用功能,信息获取,设备联通,特定执行动作,祈使语气理解"
34,翻译这段英文短信。,"信息权限,定冠词指代理解,特定应用功能,特定应用,信息获取,高级任务解决,设备联通,特定执行动作,省略信息理解,祈使语气理解"
35,把这首歌添加到我的播放列表。,"不完整目标理解,定冠词指代理解,可靠执行,特定应用功能,信息存储与提取,信息获取,特定执行动作,祈使语气理解,信息处理"
36,帮我设置早上7点的闹钟。,"规划,理解,特定应用功能,特定应用,执行,信息获取,特定执行器件,特定执行动作"
37,在我的便签里添加购物清单。,"不完整目标理解,特定应用功能,信息存储与提取,特定执行动作,祈使语气理解,信息处理"
38,我的电子邮件里有没有未读的邮件？,"信息权限,信息分析,信息运算,特定应用功能,特定应用,信息存储与提取,信息获取,条件判断,设备联通,特定执行动作,疑问语气理解,信息处理"
39,找出我上次看的那篇新闻。,"倒装语序理解,不完整目标理解,定冠词指代理解,特定应用功能,特定应用,信息存储与提取,信息获取,智能识别,设备联通,特定执行动作"
40,播放睡前音乐。,"长任务,不完整方法理解,特定应用功能,相似语义功能,智能识别,特定执行动作,祈使语气理解"
41,给我推荐一款运动健身应用。,"信息分析,不完整方法理解,自主寻找,高级任务解决,信息获取,智能识别,偏好分析"
42,我的手机电量还有多少？,"特定执行器件,设备联通,疑问语气理解,信息获取"
43,帮我查找最近的公交车站。,"自主寻找,特定应用功能,相似语义功能,模糊范围程度理解,信息获取,设备联通,特定执行动作,疑问语气理解"
44,开启语音输入，我要发微信消息。,"规划,不完整目标理解,理解,特定应用功能,特定应用,执行,特定执行器件,特定执行动作,祈使语气理解"
45,马上给我预定最近的餐厅。,"情景感知,信息运算,自主寻找,相似语义功能,模糊范围程度理解,信息获取,特定执行动作,省略信息理解,祈使语气理解"
46,在滴滴上叫一辆车来公司。,"信息权限,个性化知识理解,情景感知,特定应用功能,特定应用,信息获取,特定执行器件,信息处理,特定执行动作,祈使语气理解,模糊指代理解"
47,读出我新收到的邮件。,"信息权限,不完整目标理解,信息分析,特定应用功能,特定应用,信息存储与提取,信息获取,设备联通,特定执行动作,祈使语气理解,信息处理"
48,找一下最近的加油站。,"信息权限,情景感知,信息运算,口语化表达理解,自主寻找,特定应用,相似语义功能,特定执行动作,信息处理"
49,把这个地址发送给我司机。,"别名理解,个性化知识理解,定冠词指代理解,不完整方法理解,特定应用功能,特定应用,信息存储与提取,信息获取,特定执行动作,祈使语气理解,信息处理"
50,帮我关闭所有正在运行的应用。,"多任务调度,不完整方法理解,理解,特定应用,信息存储与提取,设备联通,特定执行动作,祈使语气理解"
51,开启无障碍模式。,"特定执行动作,祈使语气理解,特定应用功能"
52,告诉我家里的智能电视还在播放吗？,"自主寻找,其它设备协作,特定应用,信息获取,特定执行器件,设备联通,特定执行动作,疑问语气理解"
53,找出下周的天气预报。,"自主寻找,特定应用功能,信息获取,特定执行动作,祈使语气理解"
54,开始计时我做的运动。,"倒装语序理解,不完整目标理解,情景感知,口语化表达理解,特定应用功能,信息存储与提取,智能识别,特定执行动作,祈使语气理解"
55,提醒我30分钟后去拿洗衣服。,"信息运算,信息存储与提取,特定执行动作,设置条件触发,祈使语气理解"
56,打开我在家的智能摄像头。,"信息权限,个性化知识理解,智能识别,特定执行器件,设备联通,特定执行动作"
57,帮我记录一下停车位置。,"信息权限,情景感知,特定应用,模糊范围程度理解,信息存储与提取,信息获取,智能识别,特定执行动作,祈使语气理解,模糊指代理解"
58,为我找出一条去机场的最快路线。,"信息权限,自主寻找,特定应用功能,信息运算"
59,播放我最喜欢的播客节目。,"不完整目标理解,个性化知识理解,不完整方法理解,智能识别,特定应用功能,特定应用,信息存储与提取,信息获取,特定执行器件,设备联通,特定执行动作,祈使语气理解"
60,我明天的日程安排是什么？,"疑问语气理解,特定应用功能,信息获取"
61,我现在在哪个位置？,"信息权限,情景感知,信息获取,智能识别,设备联通,疑问语气理解"
62,看一下我最近的银行账户余额。,"信息权限,特定应用功能,信息存储与提取,信息获取,疑问语气理解"
63,打开蓝牙耳机的噪声消除功能,"定冠词指代理解,其它设备协作,特定执行器件,特定执行动作,祈使语气理解"
64,给老板发条消息，告诉他我今天休息。,"别名理解,特定语义功能,特定应用功能,特定执行动作,祈使语气理解"
65,找一下我昨晚发的那条朋友圈，看看有没有新的评论。,"倒装语序理解,个性化知识理解,信息分析,定冠词指代理解,情景感知,其它设备协作,特定应用功能,特定应用,信息获取"
66,把那张在海边的照片设为我的桌面壁纸。,"定冠词指代理解,特定应用功能,特定应用,信息存储与提取,信息获取,特定执行动作,祈使语气理解,信息处理"
67,我忘了我昨天晚上吃的是什么，帮我查一下外卖记录。,"信息权限,个性化知识理解,不完整目标理解,疑问语气理解,理解,特定应用功能,特定应用,模糊范围程度理解,信息存储与提取,信息获取,执行,设备联通,特定执行动作,省略信息理解,祈使语气理解,模糊指代理解"
68,看看我妈最近有没有给我发微信。,"信息权限,别名理解,信息分析,个性化知识理解,情景感知,模糊表达理解,特定应用功能,特定应用,相似语义功能,隐性步骤提取,信息存储与提取,信息获取,特定执行器件,设备联通,特定执行动作,疑问语气理解,信息处理"
69,算一下我这个月网购花了多少钱？,"信息权限,个性化知识理解,信息分析,信息运算,特定应用功能,特定应用,信息存储与提取,信息获取,疑问语气理解,模糊指代理解"
70,顺便提醒我在饭后服药。,"规划,个性化知识理解,不完整目标理解,设置条件触发,情景感知,特定应用功能,特定应用,隐性步骤提取,信息存储与提取,模糊范围程度理解,特定执行动作,省略信息理解,祈使语气理解"
71,把这段话转发到我所有的社交平台。,"不完整目标理解,多任务调度,定冠词指代理解,不完整方法理解,可靠执行,其它设备协作,特定应用功能,特定应用,相似语义功能,信息存储与提取,信息获取,构建循环,特定执行动作,祈使语气理解"
72,昨天那个会议的录音发给我，我要重听一下。,"倒装语序理解,别名理解,特定执行器件,定冠词指代理解,特定应用功能,特定应用,信息存储与提取,信息获取,非常规表达理解,特定执行动作,祈使语气理解,信息处理"
73,我的快递到哪了？,"信息权限,个性化知识理解,信息分析,自主寻找,特定应用功能,特定应用,相似语义功能,信息获取,智能识别,设备联通,特定执行动作,疑问语气理解,模糊指代理解"
74,查一下最近有什么好玩的手机游戏。,"信息运算,口语化表达理解,自主寻找,特定应用,相似语义功能,信息获取,高级任务解决,特定执行动作,偏好分析"
75,我的电子书读到哪了？,"个性化知识理解,特定应用功能,信息存储与提取,信息获取,设备联通,疑问语气理解"
76,那天和小王的聊天记录发给我。,"定冠词指代理解,信息获取,信息存储与提取,特定应用功能"
77,这条短信翻译成英文。,"定冠词指代理解,信息运算,特定应用功能,高级任务解决,特定执行动作"
78,拍一张照片然后发在我的朋友圈。,"信息权限,不完整目标理解,情景感知,其它设备协作,特定应用功能,设备联通,特定执行动作,祈使语气理解"
79,把最近的健康数据同步到我的医生那里。,"信息权限,规划,其它设备协作,理解,特定应用,祈使语气理解,隐性步骤提取,模糊范围程度理解,信息获取,信息存储与提取,执行,设备联通,特定执行动作,模糊指代理解,信息处理"
80,把我现在听的这首歌分享到朋友圈。,"定冠词指代理解,自主寻找,特定应用功能,信息获取,非常规表达理解,特定执行动作,祈使语气理解"
81,看看我今天步数走到哪了？,"设备联通,特定执行动作,疑问语气理解,信息获取"
82,帮我打开我的照片库，找一下去年的这个时候的照片。,"信息权限,特定应用功能,条件判断,特定执行动作,祈使语气理解,信息处理"
83,搜一下我昨天看的那个电影的评价。,"信息分析,个性化知识理解,定冠词指代理解,情景感知,缺失限定语理解,信息运算,自主寻找,特定应用功能,特定应用,相似语义功能,信息存储与提取,信息获取,条件判断,特定执行动作,疑问语气理解"
84,总结一下群里的新文档的内容,"信息分析,不完整目标理解,特定应用功能,信息获取,高级任务解决"
85,我上周玩了多久的手机？,"信息分析,个性化知识理解,情景感知,信息运算,自主寻找,口语化表达理解,隐性步骤提取,模糊范围程度理解,信息获取,信息存储与提取,设备联通,高级智能理解,疑问语气理解,信息处理"
86,这附近有什么适合聚餐的餐厅？,"信息分析,定冠词指代理解,情景感知,自主寻找,特定应用,相似语义功能,信息获取,特定执行器件,特定执行动作,偏好分析"
87,我身体不舒服，给老师发个邮件请假,"信息权限,个性化知识理解,别名理解,特定应用功能,相似语义功能,特定执行动作,祈使语气理解"
88,把我b站投稿的发布时间改到晚上六点,"倒装语序理解,特定执行动作,特定应用功能"
89,删除我上个学期的作业文档,"信息分析,不完整方法理解,时间指代理解,特定应用功能,特定应用,句子成分缺失理解,模糊范围程度理解,信息存储与提取,特定执行动作,省略信息理解,祈使语气理解,信息处理"
90,提醒我开启待会的会议的录屏,"不完整目标理解,特定执行动作,设置条件触发,祈使语气理解"
91,帮我整理下昨天的课堂笔记,"特定应用功能,特定应用,信息获取,条件判断,其它设备协作,隐性步骤提取,祈使语气理解,省略信息理解,设备联通,特定执行动作,信息处理,不完整目标理解,个性化知识理解,信息分析,定冠词指代理解,不完整方法理解,信息运算,模糊范围程度理解,信息存储与提取,高级任务解决"
92,我昨天吃饭花了多少钱？,"信息权限,个性化知识理解,定冠词指代理解,信息运算,特定应用,句子成分缺失理解,相似语义功能,信息存储与提取,信息获取,设备联通,疑问语气理解"
93,跟小郭说明天十点见,"别名理解,个性化知识理解,不完整方法理解,特定应用功能,相似语义功能,隐性步骤提取,特定执行动作,祈使语气理解,信息处理"
94,在我出家门后把智能家居关了,"别名理解,情景感知,其它设备协作,特定执行器件,设备联通,特定执行动作,设置条件触发,祈使语气理解"
95,能帮我规划下记事本中列的待办事项吗,"规划,信息分析,不完整目标理解,理解,特定应用功能,特定应用,信息存储与提取,信息获取,设备联通,特定执行动作,疑问语气理解,信息处理"
96,给我刚看的视频点个赞,"不完整目标理解,定冠词指代理解,特定应用功能,隐性步骤提取,信息存储与提取,信息获取,设备联通,特定执行动作,祈使语气理解"
97,开启免打扰模式,"不完整目标理解,理解,特定应用功能,特定应用,执行,特定执行动作,祈使语气理解"
98,在群里发个午饭AA的群收款,"特定执行动作,祈使语气理解,信息存储与提取,特定应用功能"
99,微博上有什么新的热搜吗？,"设备联通,疑问语气理解,特定应用功能,信息获取"
100,上课前帮我登录下雨课堂,"特定执行动作,设置条件触发,情景感知,特定应用"
101,看看我同学游戏是否在线,"别名理解,情景感知,特定应用功能,信息获取,设备联通,特定执行动作,疑问语气理解"
102,把我很久没玩的游戏卸载了吧,"规划,个性化知识理解,长任务,情景感知,信息运算,特定应用功能,特定应用,模糊范围程度理解,信息存储与提取,特定执行动作,省略信息理解,祈使语气理解,信息处理"
103,小王发新朋友圈了吗,"别名理解,疑问语气理解,特定应用功能,信息获取"
104,问问学长有没有英语课推荐,"别名理解,特定应用功能,智能识别,特定执行动作,疑问语气理解"
105,在有wifi的时候下载那个歌单,"信息权限,定冠词指代理解,自主寻找,特定应用功能,特定执行器件,特定执行动作,设置条件触发"
106,帮我找个pytorch教程,"信息分析,自主寻找,相似语义功能,信息获取,特定执行动作,祈使语气理解"
107,把王xx的微信备注改成小王,"个性化知识理解,特定执行动作,特定应用功能,信息处理"
108,开启手机的深色模式,"特定执行动作,祈使语气理解,特定应用功能"
109,给小李发个OK的表情包,"别名理解,特定执行动作,祈使语气理解,特定应用功能"
110,在豆瓣上给某本书打三颗星,"信息权限,不完整目标理解,信息分析,自主寻找,特定应用功能,特定应用,特定执行器件,特定执行动作,祈使语气理解,信息处理"
111,帮我交下微积分作业,"信息权限,个性化知识理解,信息分析,不完整目标理解,不完整方法理解,可靠执行,特定应用功能,信息存储与提取,条件判断,设备联通,特定执行动作,祈使语气理解,信息处理"
112,新建个相簿存昨天聚会的照片,"定冠词指代理解,情景感知,不完整方法理解,特定应用功能,特定应用,信息存储与提取,信息获取,智能识别,特定执行动作,省略信息理解,祈使语气理解,信息处理"
113,提醒我10分钟后去学习,"情景感知,信息存储与提取,智能识别,特定执行动作,设置条件触发,祈使语气理解"
114,下单我购物车中的所有东西,"信息权限,积极情感倾向,不完整目标理解,长任务,个性化知识理解,信息处理,设置条件触发,口语化表达理解,特定应用功能,相似语义功能,模糊范围程度理解,信息存储与提取,信息获取,设备联通,特定执行动作,模糊意图理解,祈使语气理解,模糊指代理解"
115,领取支付宝中的所有学生优惠,"信息权限,个性化知识理解,不完整方法理解,口语化表达理解,特定应用功能,特定应用,隐性步骤提取,信息存储与提取,信息获取,高级任务解决,模糊范围程度理解,特定执行动作,祈使语气理解"